replay_id,as_of_date,symbol,display_name,candidate_rank,left_score,kline_path,notes
2025-03-18_588080_RECONSTRUCTED,2025-03-18,588080,科创板50ETF,2,0.645,E:/AETF-ModelLab/data/real/normalized/kline/588080.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-18_512100_RECONSTRUCTED,2025-03-18,512100,中证1000ETF,3,0.6,E:/AETF-ModelLab/data/real/normalized/kline/512100.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-18_512480_RECONSTRUCTED,2025-03-18,512480,半导体ETF,4,0.56,E:/AETF-ModelLab/data/real/normalized/kline/512480.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-18_512660_RECONSTRUCTED,2025-03-18,512660,军工ETF,5,0.54,E:/AETF-ModelLab/data/real/normalized/kline/512660.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-19_588000_RECONSTRUCTED,2025-03-19,588000,科创50ETF,1,0.6000000000000001,E:/AETF-ModelLab/data/real/normalized/kline/588000.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-19_512100_RECONSTRUCTED,2025-03-19,512100,中证1000ETF,2,0.5800000000000001,E:/AETF-ModelLab/data/real/normalized/kline/512100.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-19_510050_RECONSTRUCTED,2025-03-19,510050,上证50ETF,3,0.54,E:/AETF-ModelLab/data/real/normalized/kline/510050.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-19_588080_RECONSTRUCTED,2025-03-19,588080,科创板50ETF,4,0.54,E:/AETF-ModelLab/data/real/normalized/kline/588080.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-19_512690_RECONSTRUCTED,2025-03-19,512690,酒ETF,5,0.52,E:/AETF-ModelLab/data/real/normalized/kline/512690.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-20_512100_RECONSTRUCTED,2025-03-20,512100,中证1000ETF,1,0.6,E:/AETF-ModelLab/data/real/normalized/kline/512100.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-20_159937_RECONSTRUCTED,2025-03-20,159937,黄金ETF,2,0.5850000000000001,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-20_588080_RECONSTRUCTED,2025-03-20,588080,科创板50ETF,3,0.5750000000000001,E:/AETF-ModelLab/data/real/normalized/kline/588080.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-20_512660_RECONSTRUCTED,2025-03-20,512660,军工ETF,4,0.575,E:/AETF-ModelLab/data/real/normalized/kline/512660.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-20_588000_RECONSTRUCTED,2025-03-20,588000,科创50ETF,5,0.55,E:/AETF-ModelLab/data/real/normalized/kline/588000.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-21_159937_RECONSTRUCTED,2025-03-21,159937,黄金ETF,1,0.665,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-21_512660_RECONSTRUCTED,2025-03-21,512660,军工ETF,2,0.575,E:/AETF-ModelLab/data/real/normalized/kline/512660.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-21_510050_RECONSTRUCTED,2025-03-21,510050,上证50ETF,3,0.5599999999999999,E:/AETF-ModelLab/data/real/normalized/kline/510050.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-21_512800_RECONSTRUCTED,2025-03-21,512800,银行ETF,4,0.5550000000000002,E:/AETF-ModelLab/data/real/normalized/kline/512800.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-21_512100_RECONSTRUCTED,2025-03-21,512100,中证1000ETF,5,0.5349999999999999,E:/AETF-ModelLab/data/real/normalized/kline/512100.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-24_512800_RECONSTRUCTED,2025-03-24,512800,银行ETF,1,0.7150000000000001,E:/AETF-ModelLab/data/real/normalized/kline/512800.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-24_159937_RECONSTRUCTED,2025-03-24,159937,黄金ETF,2,0.665,E:/AETF-ModelLab/data/real/normalized/kline/159937.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-24_510050_RECONSTRUCTED,2025-03-24,510050,上证50ETF,3,0.59,E:/AETF-ModelLab/data/real/normalized/kline/510050.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-24_510300_RECONSTRUCTED,2025-03-24,510300,沪深300ETF,4,0.535,E:/AETF-ModelLab/data/real/normalized/kline/510300.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-24_159996_RECONSTRUCTED,2025-03-24,159996,家电ETF,5,0.52,E:/AETF-ModelLab/data/real/normalized/kline/159996.csv,reconstructed_candidate_history_not_real_left_snapshot
2025-03-25_512800_RECONSTRUCTED,2025-03-25,512800,银行ETF,1,0.6950000000000001,E:/AETF-ModelLab/data/real/normalized/kline/512800.csv,reconstructed_candidate_history_not_real_left_snapshot
