candidate_rank,case_count,success_count,fail_count,direction_accuracy,mean_abs_return_error,median_abs_return_error,rmse_return_error,eligible_for_stability_check,under_50_direction_accuracy,high_mean_abs_error,high_rmse_error
1,276,276,0,0.3623188405797101,0.1874680325635002,0.1668679661585237,0.2189287638905371,True,True,True,True
2,274,274,0,0.3905109489051095,0.1746580017515587,0.1552617188925064,0.2164297691962164,True,True,True,True
3,263,263,0,0.4714828897338403,0.143935374422055,0.1353019277878351,0.1796585280578313,True,True,True,True
4,263,263,0,0.3954372623574144,0.1384584389029518,0.1115724704132515,0.1775737877355649,True,True,True,True
5,265,265,0,0.430188679245283,0.1388021553213017,0.1125267296499203,0.1758198429454691,True,True,True,True
