month,case_count,success_count,fail_count,direction_accuracy,mean_abs_return_error,median_abs_return_error,rmse_return_error,eligible_for_stability_check,under_50_direction_accuracy,high_mean_abs_error,high_rmse_error
2025-03,80,80,0,0.625,0.0703019524459,0.0576421096695311,0.0920213064875875,True,False,False,False
2025-04,105,105,0,0.4285714285714285,0.0732981950336031,0.0565713624738181,0.0914628172293484,True,True,False,False
2025-05,95,95,0,0.431578947368421,0.0600860119047028,0.0403970749253412,0.0809275972074667,True,True,False,False
2025-06,100,100,0,0.35,0.1037948970383745,0.0956676178560826,0.1182269140068697,True,True,True,False
2025-07,115,115,0,0.1043478260869565,0.2062625845757439,0.2029242149624939,0.226086083877755,True,True,True,True
2025-08,105,105,0,0.0857142857142857,0.3196868950077248,0.3519451628560606,0.3416947037708868,True,True,True,True
2025-09,110,110,0,0.2636363636363636,0.3134480784806175,0.3118286754150265,0.3180207689579312,True,True,True,True
2025-10,85,85,0,0.9058823529411764,0.1649921890013941,0.1624898581682449,0.1800611245590809,True,False,True,True
2025-11,100,100,0,0.47,0.136194443172107,0.1171936684057552,0.1685952044042391,True,True,True,True
2025-12,115,115,0,0.0782608695652174,0.1956039171439976,0.1986282974341666,0.2182536350857262,True,True,True,True
2026-01,100,100,0,0.57,0.1637071797467723,0.1660743090949618,0.1780367734305101,True,False,True,True
2026-02,70,70,0,0.9285714285714286,0.0697063581321586,0.0546766578297513,0.0923322114457719,True,False,False,False
2026-03,110,110,0,0.5818181818181818,0.0801333284853472,0.0589622502448615,0.103529298287558,True,False,False,False
2026-04,51,51,0,0.1764705882352941,0.1818003168038296,0.2244822501870433,0.2066032479075309,True,True,True,True
