candidate_rank,case_count,success_count,fail_count,direction_accuracy,mean_abs_return_error,median_abs_return_error,rmse_return_error
1,276,276,0,0.36231884057971014,0.18746803256350025,0.16686796615852373,0.21892876389053717
2,274,274,0,0.3905109489051095,0.17465800175155877,0.15526171889250645,0.21642976919621645
3,263,263,0,0.4714828897338403,0.143935374422055,0.1353019277878351,0.17965852805783136
4,263,263,0,0.39543726235741444,0.13845843890295187,0.1115724704132515,0.17757378773556493
5,265,265,0,0.43018867924528303,0.13880215532130177,0.1125267296499203,0.17581984294546912
