month,case_count,success_count,fail_count,direction_accuracy,mean_abs_return_error,median_abs_return_error,rmse_return_error
2025-03,80,80,0,0.625,0.07030195244590001,0.05764210966953115,0.09202130648758758
2025-04,105,105,0,0.42857142857142855,0.07329819503360316,0.0565713624738181,0.09146281722934842
2025-05,95,95,0,0.43157894736842106,0.06008601190470288,0.0403970749253412,0.08092759720746676
2025-06,100,100,0,0.35,0.1037948970383745,0.09566761785608266,0.11822691400686977
2025-07,115,115,0,0.10434782608695652,0.2062625845757439,0.2029242149624939,0.22608608387775508
2025-08,105,105,0,0.08571428571428572,0.31968689500772485,0.3519451628560606,0.3416947037708868
2025-09,110,110,0,0.2636363636363636,0.31344807848061756,0.31182867541502657,0.3180207689579312
2025-10,85,85,0,0.9058823529411765,0.16499218900139412,0.1624898581682449,0.18006112455908094
2025-11,100,100,0,0.47,0.13619444317210708,0.11719366840575529,0.16859520440423914
2025-12,115,115,0,0.0782608695652174,0.19560391714399766,0.1986282974341666,0.21825363508572623
2026-01,100,100,0,0.57,0.16370717974677235,0.16607430909496185,0.1780367734305101
2026-02,70,70,0,0.9285714285714286,0.06970635813215863,0.054676657829751354,0.09233221144577192
2026-03,110,110,0,0.5818181818181818,0.08013332848534724,0.05896225024486155,0.10352929828755808
2026-04,51,51,0,0.17647058823529413,0.1818003168038296,0.2244822501870433,0.20660324790753093
