symbol,case_count,success_count,fail_count,direction_accuracy,mean_abs_return_error,median_abs_return_error,rmse_return_error
159915,155,155,0,0.1870967741935484,0.24448685494285838,0.2435748429650226,0.2677835135342014
159928,20,20,0,0.5,0.025059279522685062,0.017587564986141252,0.03137863693852339
159937,124,124,0,0.4435483870967742,0.15489580129072955,0.14535578737964955,0.1720412102678175
159949,127,127,0,0.12598425196850394,0.3026165959837967,0.2951167694412835,0.321119987641483
159992,61,61,0,0.14754098360655737,0.15191627979549802,0.1404689300151269,0.17608399760560853
159996,11,11,0,0.5454545454545454,0.06135088707752201,0.0556452827822351,0.07526617920671293
510050,84,84,0,0.47619047619047616,0.04896800128147321,0.0418419009360432,0.05878065201525389
510300,105,105,0,0.5333333333333333,0.05590448123265717,0.0529581513898127,0.06923012374674246
510500,71,71,0,0.5915492957746479,0.11116015937628958,0.1065238974552076,0.13459520374357065
512010,34,34,0,0.35294117647058826,0.07561279030206829,0.0544054106765534,0.10073496010007164
512100,85,85,0,0.5647058823529412,0.0937915025227957,0.09931337101253,0.11363456313932828
512480,86,86,0,0.5813953488372093,0.20521172442393384,0.20418497190373525,0.23480866850144538
512660,73,73,0,0.4657534246575342,0.14619437127713683,0.160100663648284,0.16914584910590041
512690,18,18,0,0.3333333333333333,0.04823483553943487,0.0526578111993882,0.057015152761219275
512760,22,22,0,0.8636363636363636,0.18677175200518256,0.19648327999449783,0.20888165609767767
512800,88,88,0,0.3977272727272727,0.10127037884288663,0.10786863152770615,0.1150084483781101
512880,30,30,0,0.2,0.14083077168233724,0.1246739636951653,0.15220871151237594
515030,29,29,0,0.4482758620689655,0.2016948608490406,0.1823781860097778,0.22342525831151636
588000,70,70,0,0.5142857142857142,0.19991961683714363,0.2040707166324639,0.22959578854873527
588080,48,48,0,0.5625,0.20781698735897144,0.23833904693052954,0.24218130070465002
