replay_id,as_of_date,symbol,display_name,candidate_rank,pred_direction,actual_direction,direction_match,pred_return_last,actual_return_last,return_error,abs_return_error,model_status
2025-08-21_159915_RECONSTRUCTED,2025-08-21,159915,创业板ETF,1,DOWN,UP,False,-0.1868025064468383,0.228615863141524,-0.4154183695883624,0.4154183695883624,PASS
2025-08-19_159915_RECONSTRUCTED,2025-08-19,159915,创业板ETF,1,DOWN,UP,False,-0.2157462835311889,0.1968932038834949,-0.4126394874146839,0.4126394874146839,PASS
2025-08-21_588000_RECONSTRUCTED,2025-08-21,588000,科创50ETF,5,DOWN,UP,False,-0.1447010636329651,0.2665562913907284,-0.4112573550236935,0.4112573550236935,PASS
2025-12-09_159949_RECONSTRUCTED,2025-12-09,159949,创业板50ETF,1,DOWN,UP,False,-0.3826411962509155,0.0234527687296417,-0.4060939649805573,0.4060939649805573,PASS
2025-08-29_159949_RECONSTRUCTED,2025-08-29,159949,创业板50ETF,4,DOWN,UP,False,-0.3143246173858642,0.0916542473919523,-0.4059788647778166,0.4059788647778166,PASS
2025-08-27_512480_RECONSTRUCTED,2025-08-27,512480,半导体ETF,2,DOWN,UP,False,-0.2099946141242981,0.1930355791067375,-0.4030301932310356,0.4030301932310356,PASS
2025-09-15_159949_RECONSTRUCTED,2025-09-15,159949,创业板50ETF,1,DOWN,UP,False,-0.3303837180137634,0.0723729993041057,-0.4027567173178692,0.4027567173178692,PASS
2025-07-31_159915_RECONSTRUCTED,2025-07-31,159915,创业板ETF,1,DOWN,UP,False,-0.1545517444610595,0.247283789656671,-0.4018355341177306,0.4018355341177306,PASS
2025-08-12_159915_RECONSTRUCTED,2025-08-12,159915,创业板ETF,1,DOWN,UP,False,-0.1258788108825683,0.2733752620545073,-0.3992540729370757,0.3992540729370757,PASS
2025-08-15_159915_RECONSTRUCTED,2025-08-15,159915,创业板ETF,1,DOWN,UP,False,-0.1748892664909362,0.2223993622957354,-0.3972886287866717,0.3972886287866717,PASS
2025-11-12_159949_RECONSTRUCTED,2025-11-12,159949,创业板50ETF,2,DOWN,DOWN,True,-0.408410370349884,-0.0121539500337609,-0.396256420316123,0.396256420316123,PASS
2025-08-28_512480_RECONSTRUCTED,2025-08-28,512480,半导体ETF,2,DOWN,UP,False,-0.2505449056625366,0.1447740112994351,-0.3953189169619717,0.3953189169619717,PASS
2025-08-28_159915_RECONSTRUCTED,2025-08-28,159915,创业板ETF,1,DOWN,UP,False,-0.2372676134109497,0.1528866714183892,-0.3901542848293389,0.3901542848293389,PASS
2025-08-05_159949_RECONSTRUCTED,2025-08-05,159949,创业板50ETF,2,DOWN,UP,False,-0.0983196496963501,0.2913907284768213,-0.3897103781731714,0.3897103781731714,PASS
2025-07-30_159949_RECONSTRUCTED,2025-07-30,159949,创业板50ETF,2,DOWN,UP,False,-0.1449861526489257,0.2439478584729981,-0.3889340111219239,0.3889340111219239,PASS
