symbol,case_count,success_count,fail_count,direction_accuracy,mean_abs_return_error,median_abs_return_error,rmse_return_error,eligible_for_stability_check,under_50_direction_accuracy,high_mean_abs_error,high_rmse_error
159915,155,155,0,0.1870967741935484,0.2444868549428583,0.2435748429650226,0.2677835135342014,True,True,True,True
159928,20,20,0,0.5,0.025059279522685,0.0175875649861412,0.0313786369385233,True,False,False,False
159937,124,124,0,0.4435483870967742,0.1548958012907295,0.1453557873796495,0.1720412102678175,True,True,True,True
159949,127,127,0,0.1259842519685039,0.3026165959837967,0.2951167694412835,0.321119987641483,True,True,True,True
159992,61,61,0,0.1475409836065573,0.151916279795498,0.1404689300151269,0.1760839976056085,True,True,True,True
159996,11,11,0,0.5454545454545454,0.061350887077522,0.0556452827822351,0.0752661792067129,False,False,False,False
510050,84,84,0,0.4761904761904761,0.0489680012814732,0.0418419009360432,0.0587806520152538,True,True,False,False
510300,105,105,0,0.5333333333333333,0.0559044812326571,0.0529581513898127,0.0692301237467424,True,False,False,False
510500,71,71,0,0.5915492957746479,0.1111601593762895,0.1065238974552076,0.1345952037435706,True,False,True,False
512010,34,34,0,0.3529411764705882,0.0756127903020682,0.0544054106765534,0.1007349601000716,True,True,False,False
512100,85,85,0,0.5647058823529412,0.0937915025227957,0.09931337101253,0.1136345631393282,True,False,False,False
512480,86,86,0,0.5813953488372093,0.2052117244239338,0.2041849719037352,0.2348086685014453,True,False,True,True
512660,73,73,0,0.4657534246575342,0.1461943712771368,0.160100663648284,0.1691458491059004,True,True,True,True
512690,18,18,0,0.3333333333333333,0.0482348355394348,0.0526578111993882,0.0570151527612192,False,True,False,False
512760,22,22,0,0.8636363636363636,0.1867717520051825,0.1964832799944978,0.2088816560976776,True,False,True,True
512800,88,88,0,0.3977272727272727,0.1012703788428866,0.1078686315277061,0.1150084483781101,True,True,True,False
512880,30,30,0,0.2,0.1408307716823372,0.1246739636951653,0.1522087115123759,True,True,True,True
515030,29,29,0,0.4482758620689655,0.2016948608490406,0.1823781860097778,0.2234252583115163,True,True,True,True
588000,70,70,0,0.5142857142857142,0.1999196168371436,0.2040707166324639,0.2295957885487352,True,False,True,True
588080,48,48,0,0.5625,0.2078169873589714,0.2383390469305295,0.24218130070465,True,False,True,True
