as_of_date,symbol,display_name,candidate_rank,left_score,notes
2025-03-27,512800,银行ETF,2,0.625,reconstructed_candidate_history_not_real_left_snapshot
2025-03-27,159992,创新药ETF,3,0.5950000000000002,reconstructed_candidate_history_not_real_left_snapshot
2025-03-27,512690,酒ETF,4,0.545,reconstructed_candidate_history_not_real_left_snapshot
2025-03-27,510050,上证50ETF,5,0.51,reconstructed_candidate_history_not_real_left_snapshot
2025-03-28,159937,黄金ETF,1,0.725,reconstructed_candidate_history_not_real_left_snapshot
2025-03-28,159992,创新药ETF,2,0.64,reconstructed_candidate_history_not_real_left_snapshot
2025-03-28,159996,家电ETF,3,0.575,reconstructed_candidate_history_not_real_left_snapshot
2025-03-28,510500,中证500ETF,4,0.555,reconstructed_candidate_history_not_real_left_snapshot
2025-03-28,512690,酒ETF,5,0.535,reconstructed_candidate_history_not_real_left_snapshot
2025-03-31,159937,黄金ETF,1,0.725,reconstructed_candidate_history_not_real_left_snapshot
2025-03-31,159992,创新药ETF,2,0.6200000000000002,reconstructed_candidate_history_not_real_left_snapshot
2025-03-31,159996,家电ETF,3,0.62,reconstructed_candidate_history_not_real_left_snapshot
2025-03-31,512800,银行ETF,4,0.5950000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-03-31,510050,上证50ETF,5,0.57,reconstructed_candidate_history_not_real_left_snapshot
2025-04-01,159937,黄金ETF,1,0.725,reconstructed_candidate_history_not_real_left_snapshot
2025-04-01,159992,创新药ETF,2,0.6250000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-01,512010,医药ETF,3,0.6100000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-01,512800,银行ETF,4,0.56,reconstructed_candidate_history_not_real_left_snapshot
2025-04-01,159996,家电ETF,5,0.5199999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-02,159937,黄金ETF,1,0.725,reconstructed_candidate_history_not_real_left_snapshot
2025-04-02,159992,创新药ETF,2,0.6250000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-02,512010,医药ETF,3,0.56,reconstructed_candidate_history_not_real_left_snapshot
2025-04-02,512100,中证1000ETF,4,0.5449999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-02,512800,银行ETF,5,0.5449999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-03,159937,黄金ETF,1,0.725,reconstructed_candidate_history_not_real_left_snapshot
2025-04-03,159992,创新药ETF,2,0.6250000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-03,512800,银行ETF,3,0.5950000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-03,512100,中证1000ETF,4,0.54,reconstructed_candidate_history_not_real_left_snapshot
2025-04-03,510300,沪深300ETF,5,0.515,reconstructed_candidate_history_not_real_left_snapshot
2025-04-07,159937,黄金ETF,1,0.735,reconstructed_candidate_history_not_real_left_snapshot
2025-04-07,159928,消费ETF,2,0.69,reconstructed_candidate_history_not_real_left_snapshot
2025-04-07,512800,银行ETF,3,0.685,reconstructed_candidate_history_not_real_left_snapshot
2025-04-07,512690,酒ETF,4,0.65,reconstructed_candidate_history_not_real_left_snapshot
2025-04-07,510050,上证50ETF,5,0.565,reconstructed_candidate_history_not_real_left_snapshot
2025-04-08,159937,黄金ETF,1,0.735,reconstructed_candidate_history_not_real_left_snapshot
2025-04-08,159928,消费ETF,2,0.715,reconstructed_candidate_history_not_real_left_snapshot
2025-04-08,512690,酒ETF,3,0.7000000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-08,510050,上证50ETF,4,0.65,reconstructed_candidate_history_not_real_left_snapshot
2025-04-08,512800,银行ETF,5,0.6200000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-09,159937,黄金ETF,1,0.735,reconstructed_candidate_history_not_real_left_snapshot
2025-04-09,512690,酒ETF,2,0.715,reconstructed_candidate_history_not_real_left_snapshot
2025-04-09,159928,消费ETF,3,0.705,reconstructed_candidate_history_not_real_left_snapshot
2025-04-09,510050,上证50ETF,4,0.6050000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-09,512800,银行ETF,5,0.545,reconstructed_candidate_history_not_real_left_snapshot
2025-04-10,159937,黄金ETF,1,0.74,reconstructed_candidate_history_not_real_left_snapshot
2025-04-10,159928,消费ETF,2,0.715,reconstructed_candidate_history_not_real_left_snapshot
2025-04-10,512690,酒ETF,3,0.715,reconstructed_candidate_history_not_real_left_snapshot
2025-04-10,510050,上证50ETF,4,0.555,reconstructed_candidate_history_not_real_left_snapshot
2025-04-10,159992,创新药ETF,5,0.545,reconstructed_candidate_history_not_real_left_snapshot
2025-04-11,159937,黄金ETF,1,0.74,reconstructed_candidate_history_not_real_left_snapshot
2025-04-11,159928,消费ETF,2,0.67,reconstructed_candidate_history_not_real_left_snapshot
2025-04-11,512690,酒ETF,3,0.6649999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-11,159992,创新药ETF,4,0.6100000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-11,512480,半导体ETF,5,0.585,reconstructed_candidate_history_not_real_left_snapshot
2025-04-14,159937,黄金ETF,1,0.75,reconstructed_candidate_history_not_real_left_snapshot
2025-04-14,159928,消费ETF,2,0.6450000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-14,159992,创新药ETF,3,0.635,reconstructed_candidate_history_not_real_left_snapshot
2025-04-14,512480,半导体ETF,4,0.5900000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-14,510050,上证50ETF,5,0.5750000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-15,159937,黄金ETF,1,0.77,reconstructed_candidate_history_not_real_left_snapshot
2025-04-15,159928,消费ETF,2,0.665,reconstructed_candidate_history_not_real_left_snapshot
2025-04-15,159992,创新药ETF,3,0.615,reconstructed_candidate_history_not_real_left_snapshot
2025-04-15,512690,酒ETF,4,0.5999999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-15,510050,上证50ETF,5,0.5750000000000001,reconstructed_candidate_history_not_real_left_snapshot
2025-04-16,159937,黄金ETF,1,0.7899999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-16,159928,消费ETF,2,0.6750000000000002,reconstructed_candidate_history_not_real_left_snapshot
2025-04-16,510050,上证50ETF,3,0.64,reconstructed_candidate_history_not_real_left_snapshot
2025-04-16,512800,银行ETF,4,0.625,reconstructed_candidate_history_not_real_left_snapshot
2025-04-16,512690,酒ETF,5,0.58,reconstructed_candidate_history_not_real_left_snapshot
2025-04-17,159937,黄金ETF,1,0.7899999999999999,reconstructed_candidate_history_not_real_left_snapshot
2025-04-17,159928,消费ETF,2,0.7100000000000001,reconstructed_candidate_history_not_real_left_snapshot
